no,ang,v,2ang,rads,sin2a,v2,v2g,len1,len2,e
1,49.95,0.39,99.9,1.74343145077888,0.985135529071404,0.1521,0.015509883599394,0.015279337385525,15.2793373855252,1.65789E-05
1,43.55,0.4,87.1,1.52018177848706,0.998719357184186,0.16,0.016315459407647,0.01629456513177,16.2945651317697,1.744E-05
1,46.98,0.41,93.96,1.64008404805006,0.997600566003323,0.1681,0.017141429540159,0.017100299811369,17.1002998113687,1.83229E-05
1,65.05,0.48,130.1,2.27057753826869,0.764983116415819,0.2304,0.023494261547012,0.017972713416121,17.9727134161212,2.51136E-05
1,57.98,0.46,115.96,2.02378578292183,0.899142770332084,0.2116,0.021577195066613,0.01940097894819,19.4009789481902,2.30644E-05
1,53.16,0.44,106.32,1.85548197272935,0.959749988227666,0.1936,0.019741705883253,0.018947101989046,18.9471019890458,2.11024E-05
1,67.56,0.52,135.12,2.35823478008793,0.705662607601256,0.2704,0.027573126398923,0.019457324274383,19.4573242743832,2.94736E-05
1,78.31,0.7,156.62,2.73350444537087,0.396855256553243,0.49,0.049966094435919,0.01982930722633,19.82930722633,5.341E-05
1,35.21,0.46,70.42,1.2291745150953,0.942212572646857,0.2116,0.021577195066613,0.020330304474217,20.3303044742165,2.30644E-05
1,60.94,0.5,121.88,2.12714362271958,0.84918972055151,0.25,0.025492905324448,0.021648313148514,21.6483131485143,2.725E-05
1,44.77,0.47,89.54,1.56265160821413,0.999966831962975,0.2209,0.022525531144683,0.022524784017032,22.5247840170314,2.40781E-05
1,50.96,0.48,101.92,1.77884177274748,0.978436492429568,0.2304,0.023494261547012,0.022987642860281,22.9876428602808,2.51136E-05
1,45.27,0.47,90.54,1.58022110475567,0.99995558710895,0.2209,0.022525531144683,0.022524530720722,22.5245307207219,2.40781E-05
1,57.48,0.52,114.96,2.00659003118631,0.90653528139937,0.2704,0.027573126398923,0.024996011899108,24.9960118991082,2.94736E-05
1,53.79,0.51,107.58,1.87746275404872,0.953345211661478,0.2601,0.026522818699556,0.025285402206987,25.2854022069871,2.83509E-05
1,49.27,0.51,98.54,1.71999290065507,0.988890821302376,0.2601,0.026522818699556,0.026228171967058,26.2281719670579,2.83509E-05
1,50.28,0.52,100.56,1.7552547649175,0.983035724913078,0.2704,0.027573126398923,0.027105368297685,27.1053682976854,2.94736E-05
1,33.04,0.55,66.08,1.15317387356452,0.914055828226117,0.3025,0.030846415442582,0.028195345815177,28.1953458151765,3.29725E-05
1,51.74,0.54,103.48,1.80600352904481,0.972466074866145,0.2916,0.029734924770436,0.028916205577946,28.9162055779464,3.17844E-05
1,52.08,0.54,104.16,1.81796772616065,0.969608351650899,0.2916,0.029734924770436,0.028831231393126,28.8312313931263,3.17844E-05
2,41.58,0.39,83.16,1.45141580595848,0.992882604569814,0.1521,0.015509883599394,0.015399493624741,15.3994936247412,1.65789E-05
2,44.16,0.39,88.32,1.54155260213945,0.99957243275657,0.1521,0.015509883599394,0.015503252081218,15.5032520812178,1.65789E-05
2,47.5,0.39,95,1.65794347868695,0.996205089614627,0.1521,0.015509883599394,0.015451024981047,15.451024981047,1.65789E-05
2,41.24,0.41,82.48,1.43953391857017,0.991397452437047,0.1681,0.017141429540159,0.016993969577243,16.9939695772427,1.83229E-05
2,43.14,0.41,86.28,1.50573628168025,0.997884341687685,0.1681,0.017141429540159,0.017105164132267,17.1051641322674,1.83229E-05
2,40.04,0.42,80.08,1.39768532133706,0.985053671131479,0.1764,0.017987793996931,0.017718942512233,17.7189425122333,1.92276E-05
2,49.45,0.42,98.9,1.72597103731559,0.987984543867929,0.1764,0.017987793996931,0.017771662447248,17.7716624472478,1.92276E-05
2,36.9,0.43,73.8,1.28795901944489,0.960267465053984,0.1849,0.018854552777962,0.01810541360082,18.10541360082,2.01541E-05
2,28.38,0.46,56.76,0.990631569765802,0.836372347767058,0.2116,0.021577195066613,0.018046569296091,18.0465692960909,2.30644E-05
2,34.67,0.44,69.34,1.21026670008333,0.935710118581306,0.1936,0.019741705883253,0.018472513953016,18.4725139530156,2.11024E-05
2,31.06,0.48,62.12,1.0843139674156,0.883982889039825,0.2304,0.023494261547012,0.020768525198185,20.7685251981845,2.51136E-05
2,42.2,0.47,84.4,1.47304207600019,0.995225856809945,0.2209,0.022525531144683,0.022417991033566,22.4179910335657,2.40781E-05
2,47.63,0.48,95.26,1.66276152990025,0.995774180326013,0.2304,0.023494261547012,0.02339497903434,23.3949790343403,2.51136E-05
2,41.95,0.49,83.9,1.46433124242324,0.994337944133205,0.2401,0.0244833862736,0.024344759972711,24.3447599727106,2.61709E-05
2,48.99,0.5,97.98,1.71005321565838,0.990319418839974,0.25,0.025492905324448,0.02524611918545,25.24611918545,2.725E-05
2,42.34,0.52,84.68,1.47794323979247,0.995692248461995,0.2704,0.027573126398923,0.027454348221271,27.4543482212706,2.94736E-05
2,41.29,0.52,82.58,1.44113211656622,0.99160536763141,0.2704,0.027573126398923,0.027341660139552,27.3416601395516,2.94736E-05
2,45.27,0.53,90.54,1.580127450388,0.999956465382126,0.2809,0.02864382842255,0.028642581424425,28.6425814244252,3.06181E-05
3,58.69,0.42,117.38,2.04862387766623,0.887996020656662,0.1764,0.017987793996931,0.015973089489666,15.9730894896662,1.92276E-05
3,29.59,0.44,59.18,1.03292208436552,0.858799671091609,0.1936,0.019741705883253,0.016954170519325,16.9541705193247,2.11024E-05
3,51.62,0.42,103.24,1.80199356527518,0.973392753789888,0.1764,0.017987793996931,0.017509188333278,17.5091883332775,1.92276E-05
3,33.28,0.49,66.56,1.16156436941056,0.917426701237459,0.2401,0.0244833862736,0.022461712304111,22.4617123041114,2.61709E-05
3,40.63,0.47,81.26,1.41812445332815,0.988368269259344,0.2209,0.022525531144683,0.022263520231617,22.2635202316172,2.40781E-05
3,30.74,0.51,61.48,1.07317115715234,0.878718640441038,0.2601,0.026522818699556,0.023306095188338,23.3060951883379,2.83509E-05
3,55.65,0.5,111.3,1.94271262117282,0.931632672572581,0.25,0.025492905324448,0.023750023519056,23.7500235190555,2.725E-05
3,57.48,0.52,114.96,2.00658535370392,0.906537255895355,0.2704,0.027573126398923,0.024996066342136,24.9960663421356,2.94736E-05
3,50.91,0.51,101.82,1.77695535107875,0.978824387686113,0.2601,0.026522818699556,0.025961181773303,25.9611817733026,2.83509E-05
3,43.09,0.53,86.18,1.50414572822632,0.997779670985547,0.2809,0.02864382842255,0.028580229699218,28.5802296992184,3.06181E-05
4,42.71,0.42,85.42,1.49101655874136,0.996819281897588,0.1764,0.017987793996931,0.017930579894942,17.9305798949422,1.92276E-05
4,57.39,0.45,114.78,2.00315277975744,0.907980890463226,0.2025,0.020649253312803,0.01874912741036,18.7491274103596,2.20725E-05
4,33.55,0.45,67.1,1.17118102886929,0.921210735886758,0.2025,0.020649253312803,0.019022313839799,19.0223138397994,2.20725E-05
4,33.94,0.46,67.88,1.18472481877136,0.926395486079616,0.2116,0.021577195066613,0.01998901611197,19.9890161119696,2.30644E-05
4,47.97,0.44,95.94,1.67457534944773,0.994619788608118,0.1936,0.019741705883253,0.019635491332365,19.6354913323644,2.11024E-05
4,33.34,0.46,66.68,1.16377727236916,0.918304978987399,0.2116,0.021577195066613,0.019814445662253,19.814445662253,2.30644E-05
4,46.17,0.45,92.34,1.61150602687791,0.999171474593918,0.2025,0.020649253312803,0.020632144881817,20.6321448818168,2.20725E-05
4,51.84,0.47,103.68,1.80942688765284,0.971662583225303,0.2209,0.022525531144683,0.021887215780564,21.8872157805641,2.40781E-05
4,36.86,0.48,73.72,1.28665672457022,0.959903204661944,0.2304,0.023494261547012,0.022552216950142,22.5522169501422,2.51136E-05
4,39.93,0.48,79.86,1.39368645786148,0.984357002049531,0.2304,0.023494261547012,0.023126740861784,23.1267408617838,2.51136E-05
4,47.63,0.48,95.26,1.6625992491864,0.995789070364661,0.2304,0.023494261547012,0.023395328864803,23.3953288648028,2.51136E-05
4,48.4,0.49,96.8,1.68958902073924,0.992952441538706,0.2401,0.0244833862736,0.024310838177507,24.3108381775064,2.61709E-05
4,36.17,0.5,72.34,1.26267799504292,0.952905902745436,0.25,0.025492905324448,0.024292339961797,24.2923399617972,2.725E-05
4,35.79,0.51,71.58,1.2492192724886,0.948738149317447,0.2601,0.026522818699556,0.025163209927699,25.1632099276989,2.83509E-05
4,45.77,0.51,91.54,1.5977346111348,0.99963718635949,0.2601,0.026522818699556,0.026513195859147,26.5131958591469,2.83509E-05
4,49.1,0.52,98.2,1.71381928711833,0.989789639119545,0.2704,0.027573126398923,0.027291594827788,27.2915948277878,2.94736E-05
4,40.56,0.53,81.12,1.41581883847968,0.988015005880021,0.2809,0.02864382842255,0.028300532307332,28.3005323073321,3.06181E-05
4,45.76,0.53,91.52,1.59737612050644,0.999646778079372,0.2809,0.02864382842255,0.028633710794461,28.6337107944605,3.06181E-05
5,62.87,0.43,125.74,2.1946410899478,0.811638504139361,0.1849,0.018854552777962,0.015303081012922,15.3030810129216,2.01541E-05
5,61.3,0.42,122.6,2.13976259755759,0.842458358663058,0.1764,0.017987793996931,0.015153967406623,15.1539674066234,1.92276E-05
5,51.1,0.41,102.2,1.78368541048761,0.977424575751117,0.1681,0.017141429540159,0.016754454496058,16.7544544960575,1.83229E-05
5,47.14,0.41,94.28,1.64534094485049,0.997222836351945,0.1681,0.017141429540159,0.017093824985164,17.0938249851643,1.83229E-05
5,52.09,0.43,104.18,1.81829748866952,0.969527618477006,0.1849,0.018854552777962,0.018280009652267,18.2800096522664,2.01541E-05
5,65.58,0.49,131.16,2.28902287593547,0.752973932578824,0.2401,0.0244833862736,0.018435351645279,18.435351645279,2.61709E-05
5,51.18,0.48,102.36,1.78637649875468,0.976852451593335,0.2304,0.023494261547012,0.022950426990573,22.9504269905732,2.51136E-05
5,55.96,0.49,111.92,1.95329731004788,0.927734066302697,0.2401,0.0244833862736,0.022714071504467,22.7140715044666,2.61709E-05
5,52.3,0.48,104.6,1.8257872200886,0.967665592773301,0.2304,0.023494261547012,0.02273458852666,22.7345885266598,2.51136E-05
5,49.86,0.48,99.72,1.74053849773053,0.985628354277064,0.2304,0.023494261547012,0.023156610343536,23.1566103435358,2.51136E-05
5,48.29,0.48,96.58,1.68578933423789,0.993395586662689,0.2304,0.023494261547012,0.0233390957327,23.3390957327001,2.51136E-05
5,46.33,0.48,92.66,1.61706877517645,0.998929621266683,0.2304,0.023494261547012,0.023469113789097,23.4691137890966,2.51136E-05
5,42,0.48,84,1.46607123096773,0.994521337098141,0.2304,0.023494261547012,0.023365544407867,23.3655444078673,2.51136E-05
5,51.53,0.5,103.06,1.79887825728013,0.974101880420958,0.25,0.025492905324448,0.024832687013939,24.8326870139385,2.725E-05
5,41.06,0.5,82.12,1.43319662805618,0.990548088868395,0.25,0.025492905324448,0.025251948648835,25.2519486488351,2.725E-05
5,54.36,0.52,108.72,1.89765645784039,0.94705513109492,0.2704,0.027573126398923,0.026113270836429,26.113270836429,2.94736E-05
5,49.14,0.52,98.28,1.7152030190559,0.989591460184142,0.2704,0.027573126398923,0.027286130414952,27.2861304149523,2.94736E-05
5,39.39,0.52,78.78,1.37500403466911,0.9808938419508,0.2704,0.027573126398923,0.027046309888035,27.0463098880348,2.94736E-05
5,51.15,0.53,102.3,1.78556380364178,0.977025976012054,0.2809,0.02864382842255,0.027985764421264,27.9857644212637,3.06181E-05
5,56.94,0.55,113.88,1.98763620929526,0.914372949905295,0.3025,0.030846415442582,0.028205127882238,28.2051278822383,3.29725E-05
6,39.37,0.39,78.74,1.37437240001281,0.980770765714203,0.1521,0.015509883599394,0.015211640413916,15.2116404139161,1.65789E-05
6,47.29,0.39,94.58,1.65065627527427,0.996812888701146,0.1521,0.015509883599394,0.015460451874131,15.4604518741308,1.65789E-05
6,36.35,0.4,72.7,1.26874507368212,0.954728292951916,0.16,0.016315459407647,0.015576830708989,15.576830708989,1.744E-05
6,64.01,0.44,128.02,2.23452102559783,0.7877030812478,0.1936,0.019741705883253,0.015550602553326,15.550602553326,2.11024E-05
6,51.27,0.4,102.54,1.7897079483243,0.976134387698882,0.16,0.016315459407647,0.015926080978909,15.9260809789093,1.744E-05
6,42.15,0.41,84.3,1.47119698372815,0.995044084365498,0.1681,0.017141429540159,0.017056478061503,17.0564780615032,1.83229E-05
6,22.38,0.5,44.76,0.781311824019754,0.704211407257611,0.25,0.025492905324448,0.017952394733615,17.9523947336147,2.725E-05
6,35.93,0.44,71.86,1.25419360048313,0.950298606946276,0.1936,0.019741705883253,0.018760515599598,18.7605155995981,2.11024E-05
6,51.25,0.43,102.5,1.78910368043067,0.976265436734298,0.1849,0.018854552777962,0.018407048202207,18.4070482022068,2.01541E-05
6,38.61,0.44,77.22,1.34768254583864,0.975213200216855,0.1936,0.019741705883253,0.019252372172147,19.2523721721468,2.11024E-05
6,33.29,0.45,66.58,1.16204021597782,0.917615939007809,0.2025,0.020649253312803,0.018948083968438,18.9480839684379,2.20725E-05
6,43.86,0.44,87.72,1.53093817285393,0.999205768938312,0.1936,0.019741705883253,0.01972602640723,19.7260264072295,2.11024E-05
6,52.41,0.45,104.82,1.82936137514401,0.966757881230281,0.2025,0.020649253312803,0.019962828381673,19.9628283816728,2.20725E-05
6,51.4,0.45,102.8,1.7942781976904,0.97513168788903,0.2025,0.020649253312803,0.020135741236562,20.1357412365618,2.20725E-05
6,49.41,0.46,98.82,1.72482718343042,0.988160683210278,0.2116,0.021577195066613,0.021321735818786,21.3217358187857,2.30644E-05
6,61.28,0.49,122.56,2.13914970773746,0.842788401830515,0.2401,0.0244833862736,0.020634313988927,20.6343139889266,2.61709E-05
6,46.7,0.46,93.4,1.6301375213627,0.998239827923765,0.2116,0.021577195066613,0.021539215490373,21.5392154903732,2.30644E-05
