no,len2
1,28.379
1,28.155
1,27.951
1,27.205
1,26.366
1,25.456
1,25.292
1,25.085
1,24.151
1,23.953
1,23.199
1,23
1,22.712
1,22.509
1,22.311
1,22.073
1,22.073
1,22.032
1,21.945
1,21.567
1,21.55
1,21.544
1,21.441
1,21.335
1,20.731
1,20.701
1,20.322
1,20.263
1,20.2
1,20.192
1,19.968
1,19.543
1,18.826
1,18.636
1,18.399
1,18.33
1,18.17
1,18.04
1,17.47
1,17.78
1,17.78
1,17.16
1,17.16
1,17.16
1,16.96
1,16.93
1,16.73
1,16.73
1,16.73
1,16.73
1,16.66
1,16.55
1,16.51
1,16.37
1,16.18
1,15.32
2,28.138
2,27.412
2,26.799
2,25.149
2,24.66
2,24.404
2,23.985
2,23.75
2,23.559
2,23.533
2,23.498
2,23.451
2,23.133
2,23.061
2,22.911
2,22.846
2,22.721
2,22.449
2,22.201
2,22.156
2,22.086
2,22.012
2,21.73
2,21.71
2,21.57
2,21.25
2,21.02
2,20.8
2,20.78
2,20.58
2,20.36
2,19.9
2,19.8
2,19.74
2,18.98
2,18.88
2,18.78
2,18.65
2,18.39
2,18.38
2,18.36
2,18.21
2,18.09
2,18.05
2,18.05
2,17.9
2,17.82
2,17.64
2,17.59
2,16.87
3,26.55
3,26.318
3,26.318
3,25.657
3,25.404
3,25.119
3,25.054
3,24.962
3,24.473
3,23.875
3,23.559
3,23.531
3,23.373
3,23.294
3,22.493
3,22.481
3,22.166
3,22.042
3,21.403
3,21.268
3,20.543
3,19.955
3,19.907
3,19.628
3,19.557
3,19.424
3,19.243
3,19.052
3,19.012
3,18.888
3,18.817
3,18.627
3,18.55
3,18.548
3,17.903
3,17.768
3,17.449
3,17.163
3,17.042
3,16.779
4,28.94
4,28.554
4,26.368
4,25.219
4,25.201
4,24.981
4,24.891
4,24.754
4,24.102
4,24.102
4,24.102
4,23.776
4,22.959
4,22.359
4,21.778
4,21.602
4,21.575
4,21.263
4,19.978
4,19.893
4,19.871
4,19.761
4,19.558
4,19.432
4,18.949
4,18.915
4,18.749
4,18.534
4,18.49
4,18.158
4,17.986
4,17.897
4,17.696
4,17.629
4,17.278
4,17.06
4,17.04
4,16.92
4,16.72
4,16.72
5,28.985
5,27.487
5,27.445
5,27.433
5,27.213
5,26.834
5,26.719
5,26.138
5,25.653
5,25.306
5,25.012
5,24.586
5,23.954
5,23.707
5,23.58
5,23.179
5,22.765
5,22.572
5,22.442
5,22.366
5,22.346
5,22.107
5,22.023
5,21.966
5,21.96
5,21.787
5,21.75
5,21.67
5,21.56
5,21.53
5,21.47
5,21.47
5,20.87
5,20.78
5,20.53
5,20.51
5,20.28
5,19.96
5,19.96
5,19.94
5,19.9
5,19.77
5,19.74
5,19.59
5,19.46
5,19.45
5,19.45
5,19.44
5,19.4
5,19.36
5,19.33
5,19.29
5,19.27
5,19.27
5,19.01
5,18.83
5,18.81
5,18.78
5,18.47
5,18.44
5,18.34
5,18.14
5,17.99
5,17.96
5,17.79
